,latitude,longitude,ahr,sp,ap,pits,pses,hos,ppsp,spfm,wsc,gre,cpp,경제,사회,양극화지수,양극화
계룡시,36.274554,127.248633,4.6,89.8,-32.5,12.7,34.2,86.4,96.5,10,0,-26.2,-5.5,20.6,26,23.3,0
공주시,36.446556,127.11904,29.3,7.8,26.7,25.1,-10.8,91.4,96.5,-3.2,14.7,-16.9,18.2,21.3,26.9,24.1,0
괴산군,36.815381,127.786704,37.3,83.5,38,73.2,57.5,41.4,73.8,6,31.9,2.5,-109.1,52.9,22.1,37.5,0
금산군,36.108857,127.488213,38.7,77.7,19.4,35.5,41.6,84.8,36.9,-22.8,18.4,-14.2,-30.9,45.3,18.7,32,0
논산시,36.1872399,127.0986227,35.1,42.1,27.8,20.8,11.6,94.4,73.8,21.9,15.5,-11.1,27.3,35,31.8,33.4,0
단양군,36.984539,128.365589,37.8,84.4,36.8,43.6,57.7,68.2,-58.2,57.3,23.7,-19.4,-127.3,53,5.7,29.3,0
당진시,36.8899744,126.6459003,15.6,3.3,-45,11.7,25.9,57.1,32.6,4.9,14.9,44,-65.5,-8.7,15.7,3.5,1
대전광역시,36.3504396,127.3849508,20.8,-71.9,-66.4,-2.7,-10.1,20.2,0.7,-5.3,-3,-1.7,21.8,-39.2,2.5,-18.3,1
보령시,36.333452,126.612803,9.8,43.4,11.9,15.4,20.9,35.9,76.6,26,13.3,3.4,54.5,21.7,30.7,26.2,0
보은군,36.489455,127.729485,2.4,86.3,38,51.4,63.9,30.8,23.4,57.3,46.1,-22.3,58.2,42.2,38.6,40.4,0
부여군,36.275658,126.909775,28.4,73.3,19.8,45.4,66.6,67.2,46.8,49.4,15.1,-4.3,5.5,40.5,36.4,38.5,0
서산시,36.7849216,126.4502766,46.7,8.1,-2.3,4.9,31,100,98.6,2,0.6,12.9,12.7,17.5,32.8,25.2,0
서천군,36.080286,126.6917418,43.3,77.9,39.4,37.1,62.5,32.3,36.9,54.6,15.5,-25.9,-343.6,53.5,-16.3,18.6,0
세종특별자치시,36.4803512,127.2894325,16.4,-51.9,-80.7,-2.1,-2.6,90.4,-44,7.6,1.4,25.2,18.2,-38.7,11.8,-13.5,1
아산시,36.790013,127.002474,43,-90.2,15.1,9.3,24.3,44.9,66,-15.4,0,15.6,-140,-10.7,0.6,-5,1
영동군,36.175047,127.783423,6.7,100,29.9,51.2,45.7,88.9,9.9,10,19,3.3,1.8,45.5,28.7,37.1,0
예산군,36.6808995,126.8447382,10.1,63.9,37.2,41.6,56.2,98.5,74.5,44.7,28.4,17.1,-114.5,37.1,30.8,33.9,0
옥천군,36.3064369,127.5714191,37.6,76.1,29.9,36.6,70.5,100,-65.2,26.9,10.4,-10.8,-112.7,47.9,7,27.4,0
음성군,36.940282,127.690487,38.2,36.9,16.2,18.5,36.6,80.3,14.2,-9,10.5,-21.8,-169.1,30.4,-5,12.7,1
제천시,37.132646,128.191037,17.2,25.3,27.8,8.7,-8.7,49.5,-16.3,-9.1,3.1,38.6,-178.2,23.4,-14.1,4.7,1
증평군,36.785345,127.581507,19.5,86,40.4,-2.9,64.7,8.6,-144,26.9,-3,8.6,-380,48.6,-52.6,-2,1
진천군,36.85542,127.435602,14.4,44.4,41.2,6.9,52.1,100,39.7,30.5,7.4,26.6,-229.1,33.3,4.3,18.8,0
천안시,36.815147,127.113892,9.2,-327.1,-13.7,-2.1,20,-318.2,69.5,-24.6,0.5,9.8,-41.8,-110.5,-35.9,-73.2,1
청양군,36.459151,126.802238,41.8,90.4,42.8,48.5,72.9,58.1,18.4,34,50.8,2.3,-101.8,58.3,22.9,40.6,0
청주시,36.6424987,127.488975,15.4,-337.8,-29.8,0.4,-6.2,-313.1,59.6,-8.3,-0.1,-13.7,-87.3,-117.4,-46.1,-81.7,1
충주시,36.991105,127.926012,20.8,-20.7,14.1,6.7,-10.3,81.8,39.7,-9.9,5.2,-5.1,-47.3,4.7,7.6,6.2,1
태안군,36.74561,126.297913,28.1,64.9,6.9,34.4,41.1,61.6,97.9,47.4,9.9,-4.1,-172.7,33.3,14.4,23.9,0
홍성군,36.601324,126.660775,25.8,52.1,13.5,24.9,88.5,100,63.8,-14.3,6.7,6.7,-181.8,30.5,11.8,21.1,0
계룡시,36.274554,127.248633,4.6,89,-24,24.8,22.7,77.2,-29.4,14.7,0.1,-26.2,-21.8,23.2,7.8,15.5,0
공주시,36.446556,127.11904,28.4,-1.6,30.6,15.5,-20.9,40.9,-10.7,-0.9,11.5,-16.9,21.8,19.1,5,12.1,0
괴산군,36.815381,127.786704,35.4,84.2,29,70.5,61.7,48,42.8,5.6,27.5,4.6,-101.8,49.5,19.9,34.7,0
금산군,36.108857,127.488213,38.3,77.4,20.5,14.2,28.2,63.8,-94.7,-21.8,17.4,-14.2,-41.8,45.4,-6.1,19.7,0
논산시,36.1872399,127.0986227,35.2,43.1,33.7,6,-14.9,71.7,53.5,24.7,14,-11.1,5.5,37.3,18.6,28,0
단양군,36.984539,128.365589,40.6,84.1,39.4,29.2,54.6,52.8,-89.3,58.6,22.4,-19.4,-129.1,54.7,-2.5,26.1,0
당진시,36.8899744,126.6459003,15.7,3,-36,-4.3,-37.4,49.6,59.4,4.3,11.2,43.9,-69.1,-5.8,7.2,0.7,1
대전광역시,36.3504396,127.3849508,17,-71.4,-72.6,-27.1,-44,0.8,21.9,-2.7,-3,-0.7,10.9,-42.3,-5.5,-23.9,1
보령시,36.333452,126.612803,28.8,42.7,14.6,35.9,21.1,31.5,88.2,28.3,11.1,2.9,47.3,28.7,33.3,31,0
보은군,36.489455,127.729485,45,86.1,40.6,55.5,36.5,-20.5,-210.2,59,45.2,-19.7,43.6,57.2,-1.3,28,0
부여군,36.275658,126.909775,43.8,72.3,21.7,40.6,61.2,98.4,11.8,49.9,14.3,-3.9,3.6,45.9,34.5,40.2,0
서산시,36.7849216,126.4502766,16.6,8.4,-0.8,-10.6,14.9,100,59.4,0.6,0.1,14.3,9.1,8.1,23.5,15.8,0
서천군,36.080286,126.6917418,43.1,77.7,37.9,22.1,82.3,0,63.6,56.7,13.6,-25.8,-387.3,52.9,-21.8,15.5,0
세종특별자치시,36.4803512,127.2894325,6.2,-56.1,-87.2,-16.6,-25.5,100,-64.2,10.1,0.2,25.2,-3.6,-45.7,3.2,-21.2,1
아산시,36.790013,127.002474,10.2,-85.9,15.4,-15.9,41.5,59.1,-11.2,-14.4,-0.5,16.8,-172.7,-20.1,-12.2,-16.1,1
영동군,36.175047,127.783423,37.3,100,32.1,46,42.7,81.9,-280.2,12.6,17.6,3.3,-14.5,56.5,-11.3,22.6,0
예산군,36.6808995,126.8447382,31.8,63.5,35.2,26.8,33.9,99.2,76.5,45.6,23.5,19.5,-116.4,43.5,26.1,34.8,0
옥천군,36.3064369,127.5714191,38.1,76.6,22.9,22.3,41.3,100,-238.5,31,8.8,-10.8,-114.5,45.9,-20.1,12.9,0
음성군,36.940282,127.690487,17.5,36.2,15.4,13.9,24.5,55.9,-142.2,-6.1,9.9,-21.8,-176.4,23,-30.3,-3.6,1
제천시,37.132646,128.191037,23.7,26.1,31.6,-4.3,-1.6,69.3,-148.1,-5.4,2.5,42.9,-225.5,27.1,-33.8,-3.3,1
증평군,36.785345,127.581507,21.2,85.9,46,-11.8,48.6,-4.7,-64.7,30.5,-3,8.6,-389.1,51,-48.2,1.4,1
진천군,36.85542,127.435602,13.7,41.1,46,-17.9,7.1,100,-173.8,28.8,6.4,26.6,-236.4,33.6,-32.4,0.6,1
천안시,36.815147,127.113892,9.5,-316.7,-14.8,-21.3,7.1,-44.9,-24.6,-23.6,0.3,10.3,-50.9,-107.3,-18.4,-62.9,1
청양군,36.459151,126.802238,41,90.5,45.2,47.2,59.9,35.4,-15.5,38,49.7,2.3,-107.3,58.9,13.7,36.3,0
청주시,36.6424987,127.488975,16,-333.7,-26.3,-19,-28,-14.2,-141.7,-5.5,-0.1,-11.6,-101.8,-114.7,-40.2,-77.5,1
충주시,36.991105,127.926012,20.9,-23.3,16.7,-9.1,-10.6,55.1,-165.8,-12.4,3.6,-5.1,-54.5,4.8,-24.8,-10,1
태안군,36.74561,126.297913,27.9,63.5,2.4,13,31.9,20.5,98.4,49.3,4.5,2.4,-174.5,31.3,5.7,18.5,0
홍성군,36.601324,126.660775,26.3,53,15.1,-9.5,71.1,100,88.8,-12.2,6.5,8.5,-187.3,31.5,8.2,19.9,0
계룡시,36.274554,127.248633,5.8,3.6,-21.2,22.3,25,100,-73.5,16.3,0.1,-26.2,-9.1,-3.9,6.9,1.5,1
공주시,36.446556,127.11904,31.3,17.4,30.7,7.6,-24.4,38.6,-31.7,1.5,9.3,-16.9,21.8,26.5,0.7,13.6,0
괴산군,36.815381,127.786704,35.6,39.9,31.7,70.9,60,49.6,40.9,4.9,26.2,4.7,-96.4,35.7,20.1,27.9,0
금산군,36.108857,127.488213,39,35,22.9,14.4,26.4,66.9,-111.1,-18.3,17.1,-14.2,-41.8,32.3,-7.6,12.4,0
논산시,36.1872399,127.0986227,36.3,4.8,36.8,4.8,-14.5,70.9,68.7,27.7,10.3,-11.1,7.3,26,20.5,23.2,0
단양군,36.984539,128.365589,40.7,18.1,42.3,30.4,39.9,52,-102.9,60.7,20.4,-19.4,-154.5,33.7,-9.2,12.3,0
당진시,36.8899744,126.6459003,16.4,-13.6,-26.1,-0.5,22.9,23.6,60.2,5.4,10.4,44.4,-69.1,-7.8,12.2,2.2,1
대전광역시,36.3504396,127.3849508,19.2,-20.1,-84.4,-24.5,-40.7,13.4,2.2,0.3,-3,-0.8,12.7,-28.4,-5,-16.7,1
보령시,36.333452,126.612803,29.8,-5.8,19.7,11.4,-1.4,61.4,82.1,30.1,7.9,2.9,45.5,14.6,30,22.3,0
보은군,36.489455,127.729485,46.6,33.9,43.4,36.3,42,-18.9,-182.8,62.5,44.8,-19.7,43.6,41.3,1,21.1,0
부여군,36.275658,126.909775,44.7,39,24.7,36.8,57.9,97.6,3.8,51.7,10.3,-3.9,1.8,36.1,32,34.1,0
서산시,36.7849216,126.4502766,17.7,-6,4.3,-5.8,12.5,100,58,2.8,-1.2,14.3,9.1,5.3,23.7,14.5,0
서천군,36.080286,126.6917418,43.1,22,40.9,24.2,86.3,-3.9,58.1,57.1,10.4,-25.9,-394.5,35.3,-23.5,5.9,1
세종특별자치시,36.4803512,127.2894325,6.5,-45.3,-113.3,-8.8,-25.5,93.7,-120.8,12.4,-0.9,25.2,-9.1,-50.7,-4.2,-27.5,1
아산시,36.790013,127.002474,10.6,-45,19,-10.7,36.7,48.8,-13.4,-13.4,-0.6,17.9,-178.2,-5.1,-14.1,-9.6,1
영동군,36.175047,127.783423,38.5,100,34.6,45,44.9,85,-300.5,12.9,17.1,4.5,-14.5,57.7,-13.2,22.3,0
예산군,36.6808995,126.8447382,32.1,17.2,37.6,18.4,51.2,99.2,74.4,47.6,18.4,24.3,-118.2,29,26.9,27.9,0
옥천군,36.3064369,127.5714191,38.9,13.1,26.6,12.7,45.8,100,-77.1,35.4,8,-10.8,-116.4,26.2,-0.3,13,0
음성군,36.940282,127.690487,18.8,-1.8,21.4,17,22.5,59.1,16.2,-2.4,7.3,-21.8,-180,12.8,-10.3,1.3,1
제천시,37.132646,128.191037,25.4,-3.4,34.4,3.6,-0.6,69.3,-175.8,-5.4,2.5,46.3,-223.6,18.8,-35.5,-8.3,1
증평군,36.785345,127.581507,23.1,21.5,50.1,-10.8,50.8,78.7,-26,32.5,-3,9.3,-398.2,31.6,-33.3,-0.9,1
진천군,36.85542,127.435602,14.4,-15,48.6,-13.3,25.2,100,-185.4,31.7,4.8,27.9,-245.5,16,-31.8,-7.9,1
천안시,36.815147,127.113892,10.9,-39.2,-12.3,-20.7,5.8,-43.3,-9.3,-20.3,0,11.9,-50.9,-13.5,-15.9,-14.7,1
청양군,36.459151,126.802238,41.2,30.4,47.9,50.2,55,100,-20.8,37.1,52.9,2.3,-110.9,39.8,20.7,30.3,1
청주시,36.6424987,127.488975,17.6,-18.3,-23.8,-21,-23.8,-8.7,-134.1,-2.5,-0.2,-11.6,-105.5,-8.2,-38.4,-23.3,1
충주시,36.991105,127.926012,24,-8.5,19.9,-7.9,12.9,26,-155.1,-8.3,2.7,-5.1,-56.4,11.8,-23.9,-6,1
태안군,36.74561,126.297913,28.5,12.6,8.2,10.4,26.1,11,98.8,51.9,0.5,2.4,-180,16.4,2.6,9.5,0
홍성군,36.601324,126.660775,26.5,-1.1,17.7,-13.7,57.4,100,76.2,-8.9,5.2,8.5,-194.5,14.4,3.8,9.1,0
계룡시,36.274554,127.248633,6,85.4,-22.3,22,46.6,100,-33.3,17.9,-0.9,-26.2,-10.9,23,14.4,18.7,0
공주시,36.446556,127.11904,33,3.9,20.6,7.8,-18,84.4,8.3,4,7.7,-16.9,21.8,19.2,12.4,15.8,0
괴산군,36.815381,127.786704,35.9,81.8,32.3,68.9,45.7,31.1,31.1,11.3,34.7,4.4,-92.7,50,16.8,33.4,0
금산군,36.108857,127.488213,39.2,75.6,53.9,18.5,33.5,63.8,-71.4,-12.4,13.6,-14.2,-41.8,56.2,-1.3,27.5,0
논산시,36.1872399,127.0986227,37.8,40.8,36.3,-2.2,-10.3,72.1,43.6,30,3.8,-11.1,-3.6,38.3,15.3,26.8,0
단양군,36.984539,128.365589,40.7,81.2,47.9,38,50,100,-101.1,61.2,20.4,-19.4,-176.4,56.6,-3.4,26.6,0
당진시,36.8899744,126.6459003,17.3,2.4,-15,-9.9,25.8,15.6,44.8,10.5,6.6,44.7,-25.5,1.6,14.1,7.8,0
대전광역시,36.3504396,127.3849508,22.9,-69.2,-80.3,-19.7,-35.4,1.6,16.2,3.5,-3,-12.6,60,-42.2,1.3,-20.4,1
보령시,36.333452,126.612803,32.6,40.8,25.3,-8.3,11.3,19.6,30.5,33,7.7,11.7,-234.5,32.9,-16.1,8.4,0
보은군,36.489455,127.729485,46.4,83.8,48.9,39.9,52.6,23.3,-178.4,62.7,43.4,14.3,5.5,59.7,7.9,33.8,0
부여군,36.275658,126.909775,45.8,71.3,45.4,40.2,49.7,97.8,16.2,53.4,8.9,-25.9,-403.6,54.2,-20.4,16.9,0
서산시,36.7849216,126.4502766,19.6,7.6,1.6,-10.8,18.6,100,-9.3,5.9,-1.6,25.2,-18.2,9.6,13.7,11.7,0
서천군,36.080286,126.6917418,44.2,75.2,39.6,20.9,30.5,-4.7,63.4,60,9.5,17.9,-212.7,53,-1.9,25.6,0
세종특별자치시,36.4803512,127.2894325,7,-53.6,-152.7,-12.5,-31.5,89.7,-130.4,13.9,-1.8,4.9,-7.3,-66.4,-9.4,-37.9,1
아산시,36.790013,127.002474,11.2,-86.1,0.5,-14.7,-7.5,20,-8.8,-9.9,-0.7,24.8,-121.8,-24.8,-14.8,-19.8,1
영동군,36.175047,127.783423,38.6,100,57.2,32,53.9,88.2,-279.2,14.2,14.1,-10.8,-118.2,65.3,-25.7,19.8,0
예산군,36.6808995,126.8447382,33.7,61.5,36.3,37,39.1,77.8,44.1,48,18.1,2.6,-65.5,43.8,25.1,34.5,0
옥천군,36.3064369,127.5714191,39,73.4,44.6,2.3,23.1,100,-288.5,38.4,7.3,-21.8,-241.8,52.3,-47.6,2.4,1
음성군,36.940282,127.690487,20,34.8,26.4,2.3,32.7,100,23.6,4.4,6.4,46,-234.5,27.1,-2.4,12.3,0
제천시,37.132646,128.191037,28.7,24.4,24.6,-7.5,7.3,66.9,-138.2,0.3,1.8,-10.8,-56.4,25.9,-17.1,4.4,1
증평군,36.785345,127.581507,23.5,83,23.1,-21.2,61.6,-1,-38.7,33.3,-3,9.3,-349.1,43.2,-38.6,2.3,1
진천군,36.85542,127.435602,16,40.1,33,100,-7.1,7.6,-183.1,31.6,4.7,29.9,-258.2,29.7,-34.3,-2.3,1
천안시,36.815147,127.113892,12.3,-308.9,-54.3,-17.9,8.8,50.5,9,-17.6,-0.1,13,-56.4,-117,-1.3,-59.2,1
청양군,36.459151,126.802238,41.3,87.7,52.9,49,41.7,100,-9.3,38.8,49.8,2.3,-114.5,60.6,19.7,40.2,0
청주시,36.6424987,127.488975,20.5,-321.1,-26.2,-18.8,-20.4,53.1,-111.3,0.6,-0.2,-11.6,-107.3,-108.9,-27,-67.9,1
충주시,36.991105,127.926012,26.7,-21.3,14.7,-10.9,-22.9,39.7,-259.4,-5.4,2.2,-5.1,-60,6.7,-40.2,-16.8,1
태안군,36.74561,126.297913,29.1,61.8,24.8,7.4,30.8,100,38.5,53,0.5,2.4,-230.9,38.6,0.2,19.4,0
홍성군,36.601324,126.660775,27.8,50,15.1,-10,60.2,100,77,-4.7,4.4,8.5,-198.2,31,4.7,17.8,0
